date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:22	234889/234889	---M--	200	added ('OK')	image/jpeg	etag:%22a123e9f-39589-5a41246381380%22	http://hms.rguktsklm.ac.in/imgs/nav.jpg	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/imgs/nav.jpg	(from http://hms.rguktsklm.ac.in/css/style.css)
09:41:24	12118/12118	---M--	200	added ('OK')	image/png	etag:%22a123e2f-2f56-5d0c7bb1f1900%22	http://hms.rguktsklm.ac.in/services/imgs/profiles/thumbCopy.png	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/services/imgs/profiles/thumbCopy.png	(from http://hms.rguktsklm.ac.in/about.php)
09:41:24	390056/390056	---M--	200	added ('OK')	font/ttf	etag:%22a123e85-5f3a8-5a41246381380%22	http://hms.rguktsklm.ac.in/fonts/modal.ttf	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/modal.ttf	(from http://hms.rguktsklm.ac.in/css/style.css)
09:41:25	673/673	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2003%20Aug%202022%2004:11:23%20GMT	http://hms.rguktsklm.ac.in/url	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/url.html	(from http://hms.rguktsklm.ac.in/home.php)
09:41:32	47693/47693	---M--	200	added ('OK')	image/jpeg	etag:%22a1213f8-ba4d-5d47f80f771f7%22	http://hms.rguktsklm.ac.in/services/files/notices/1_61cff65d2b2289.19608318.happy-new-year-2022.jpg	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/services/files/notices/1_61cff65d2b2289.19608318.happy-new-year-2022.jpg	(from http://hms.rguktsklm.ac.in/message.php?id=3)
09:41:37	140855/140855	---M--	200	added ('OK')	image/jpeg	etag:%22a121319-22637-5e4ff12d0d620%22	http://hms.rguktsklm.ac.in/services/imgs/profiles/62e4c21b05db34.84148236.20220511_063207.jpg	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/services/imgs/profiles/62e4c21b05db34.84148236.20220511_063207.jpg	(from http://hms.rguktsklm.ac.in/about.php)
09:41:59	712056/712056	---M--	200	added ('OK')	image/jpeg	etag:%22a121e5f-add78-5e35bde89407b%22	http://hms.rguktsklm.ac.in/services/imgs/profiles/62c949069709c1.08560391.dileep__.jpg	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/services/imgs/profiles/62c949069709c1.08560391.dileep__.jpg	(from http://hms.rguktsklm.ac.in/about.php)
09:41:59	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/texts.ttf	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/texts.html	(from http://hms.rguktsklm.ac.in/css/style.css)
09:41:59	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-brands-400.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
09:41:59	0/-1	---M--	500	error ('')			http://hms.rguktsklm.ac.in/fonts/fa-brands-400.eot?	C:/My%20Web%20Sites/qqqqqqqqqq/hms.rguktsklm.ac.in/fonts/fa-brands-400d41d.html	(from http://hms.rguktsklm.ac.in/css/fontawesome-all.css)
